PostId,PostTypeId,AcceptedAnswerId,CreationDate,AnswerCount,ParentId,Title,CommentCount,ViewCount,Score,LastActivityDate,FavoriteCount,OwnerUserId,ClosedDate
71,2,N/A,b'2011-12-15T08:29:00.433',N/A,69,N/A,b'2',N/A,b'2',b'2011-12-15T08:29:00.433',N/A,b'120',N/A
74,2,N/A,b'2011-12-15T08:40:15.060',N/A,69,N/A,b'5',N/A,b'5',b'2014-06-19T14:50:19.097',N/A,b'112',N/A
165,1,b'167',b'2011-12-16T19:07:08.793',b'2',N/A,b'When does BLAST fail to align 2 DNA sequences?',b'0',b'759',b'14',b'2017-03-23T16:27:35.083',b'4',b'44',N/A
167,2,N/A,b'2011-12-16T19:56:41.663',N/A,165,N/A,b'3',N/A,b'14',b'2011-12-16T20:29:03.863',N/A,N/A,N/A
202,1,b'335',b'2011-12-18T21:45:16.950',b'1',N/A,b'What are the criteria for determining the influence of epigenetic factors?',b'0',b'225',b'10',b'2011-12-26T12:40:12.687',N/A,b'173',N/A
240,1,b'241',b'2011-12-19T21:56:59.593',b'1',N/A,"b""How many people's DNA were involved in the compilation of the reference human genome?""",b'0',b'1684',b'18',b'2012-01-13T10:08:12.637',b'2',b'28',N/A
241,2,N/A,b'2011-12-19T22:15:14.790',N/A,240,N/A,b'9',N/A,b'14',b'2011-12-19T22:15:14.790',N/A,b'34',N/A
264,1,b'275',b'2011-12-21T13:45:26.553',b'3',N/A,b'Defining paper(s) in epigenetics',b'2',b'323',b'14',b'2012-09-12T17:37:59.183',b'4',b'43',N/A
270,2,N/A,b'2011-12-21T21:59:15.627',N/A,264,N/A,b'1',N/A,b'3',b'2012-09-12T17:37:59.183',N/A,b'28',N/A
275,2,N/A,b'2011-12-21T23:38:10.807',N/A,264,N/A,b'0',N/A,b'8',b'2011-12-21T23:38:10.807',N/A,b'81',N/A
280,1,b'508',b'2011-12-22T05:35:08.413',b'3',N/A,b'Alternate genetic codes in newly sequenced organisms',b'3',b'191',b'9',b'2012-01-05T18:34:08.013',N/A,b'43',N/A
282,2,N/A,b'2011-12-22T07:09:46.783',N/A,280,N/A,b'0',N/A,b'2',b'2011-12-22T07:09:46.783',N/A,b'184',N/A
288,2,N/A,b'2011-12-22T13:45:43.690',N/A,280,N/A,b'0',N/A,b'3',b'2011-12-22T13:45:43.690',N/A,b'219',N/A
289,2,N/A,b'2011-12-22T14:22:03.333',N/A,264,N/A,b'0',N/A,b'3',b'2011-12-29T21:41:04.090',N/A,b'219',N/A
291,1,b'293',b'2011-12-22T15:54:45.687',b'1',N/A,b'Time from stimulus to gene expression',b'0',b'189',b'17',b'2011-12-23T06:39:50.667',b'2',b'43',N/A
293,2,N/A,b'2011-12-22T17:23:28.567',N/A,291,N/A,b'0',N/A,b'11',b'2011-12-23T06:39:50.667',N/A,b'219',N/A
320,1,b'322',b'2011-12-24T05:52:25.497',b'2',N/A,b'Why was it so hard to decode the corn genome?',b'1',b'493',b'16',b'2014-11-11T14:04:09.483',b'3',b'238',N/A
322,2,N/A,b'2011-12-24T06:48:35.510',N/A,320,N/A,b'0',N/A,b'23',b'2011-12-24T06:48:35.510',N/A,b'90',N/A
335,2,N/A,b'2011-12-26T12:40:12.687',N/A,202,N/A,b'7',N/A,b'6',b'2011-12-26T12:40:12.687',N/A,b'219',N/A
340,1,b'343',b'2011-12-26T23:31:20.647',b'1',N/A,b'What is the base cancer rate for an arbitrary carcinogen?',b'0',b'154',b'11',b'2012-02-17T09:38:15.763',N/A,b'42',N/A
343,2,N/A,b'2011-12-27T10:22:33.350',N/A,340,N/A,b'0',N/A,b'8',b'2011-12-27T10:22:33.350',N/A,b'66',N/A
391,1,b'392',b'2011-12-30T10:26:00.303',b'1',N/A,b'How do CpG islands remain unmethylated?',b'0',b'1411',b'13',b'2012-09-13T21:25:10.187',b'2',b'115',N/A
392,2,N/A,b'2011-12-30T11:47:04.720',N/A,391,N/A,b'1',N/A,b'11',b'2012-09-13T21:25:10.187',N/A,b'219',N/A
470,1,b'474',b'2012-01-04T19:22:22.690',b'1',N/A,"b'What is the functional and structural distinction between core (H2A, H2B, H3,H4) and linker(H1/H5) histones?'",b'0',b'2352',b'11',b'2014-01-13T21:37:51.573',b'1',b'307',N/A
474,2,N/A,b'2012-01-04T20:33:02.123',N/A,470,N/A,b'0',N/A,b'7',b'2012-09-07T23:03:16.877',N/A,b'28',N/A
485,1,b'506',b'2012-01-05T13:04:04.913',b'1',N/A,b'How does the stem-loop cause intrinsic transcription termination?',b'0',b'4709',b'12',b'2012-09-14T15:56:02.863',b'0',b'312',N/A
487,1,b'538',b'2012-01-05T13:42:37.000',b'2',N/A,b'What is the modern state of the theory of evolution?',b'7',b'705',b'10',b'2017-12-18T09:24:30.143',b'2',b'66',N/A
506,2,N/A,b'2012-01-05T14:51:42.673',N/A,485,N/A,b'0',N/A,b'8',b'2012-09-13T21:24:29.067',N/A,b'219',N/A
507,2,N/A,b'2012-01-05T18:13:33.583',N/A,320,N/A,b'0',N/A,b'9',b'2012-01-05T18:13:33.583',N/A,b'313',N/A
508,2,N/A,b'2012-01-05T18:34:08.013',N/A,280,N/A,b'0',N/A,b'6',b'2012-01-05T18:34:08.013',N/A,b'313',N/A
537,1,b'542',b'2012-01-07T17:47:59.053',b'3',N/A,b'What are the function(s) of Alu elements in the cell?',b'0',b'7710',b'7',b'2012-01-08T16:20:40.953',N/A,b'81',N/A
538,2,N/A,b'2012-01-07T18:54:35.633',N/A,487,N/A,b'1',N/A,b'16',b'2012-11-28T14:56:29.277',N/A,b'279',N/A
539,2,N/A,b'2012-01-07T20:21:46.550',N/A,537,N/A,b'0',N/A,b'0',b'2012-01-07T20:21:46.550',N/A,b'279',N/A
541,2,N/A,b'2012-01-07T22:06:19.233',N/A,537,N/A,b'0',N/A,b'8',b'2012-01-07T22:06:19.233',N/A,b'177',N/A
542,2,N/A,b'2012-01-07T23:23:36.873',N/A,537,N/A,b'0',N/A,b'9',b'2012-01-08T11:39:30.943',N/A,b'219',N/A
684,1,b'685',b'2012-01-16T19:23:39.490',b'2',N/A,b'Overlapping genetic information in eukaryotes',b'0',b'437',b'10',b'2012-01-19T20:36:12.143',N/A,b'43',N/A
685,2,N/A,b'2012-01-16T21:15:32.817',N/A,684,N/A,b'0',N/A,b'9',b'2012-01-16T21:15:32.817',N/A,b'48',N/A
699,1,b'703',b'2012-01-17T15:45:18.450',b'1',N/A,"b'What is the origin of ""melting"" in molecular genetics?'",b'4',b'1352',b'7',b'2012-02-16T14:42:16.967',N/A,b'43',N/A
703,2,N/A,b'2012-01-17T19:05:09.150',N/A,699,N/A,b'2',N/A,b'6',b'2012-01-17T19:05:09.150',N/A,b'115',N/A
723,2,N/A,b'2012-01-19T20:36:12.143',N/A,684,N/A,b'0',N/A,b'3',b'2012-01-19T20:36:12.143',N/A,b'28',N/A
728,1,N/A,b'2012-01-20T02:26:14.117',b'2',N/A,b'How is eye color in humans inherited?',b'0',b'5817',b'16',b'2012-01-27T00:09:06.977',N/A,b'28',N/A
732,1,b'737',b'2012-01-20T04:29:52.003',b'1',N/A,"b'How do I get the current ""camera position"" in PyMol so I can reuse it in scripts?'",b'0',b'1356',b'14',b'2012-01-20T13:15:54.877',N/A,b'25',N/A
737,2,N/A,b'2012-01-20T13:10:58.473',N/A,732,N/A,b'3',N/A,b'9',b'2012-01-20T13:15:54.877',N/A,b'6',N/A
743,2,N/A,b'2012-01-20T20:18:50.293',N/A,728,N/A,b'3',N/A,b'8',b'2012-01-20T20:59:35.377',N/A,b'48',N/A
749,2,N/A,b'2012-01-21T22:11:43.600',N/A,728,N/A,b'0',N/A,b'5',b'2012-01-21T22:11:43.600',N/A,b'66',N/A
781,1,b'784',b'2012-01-23T20:32:45.950',b'2',N/A,b'Is it possible to trace of the ancestry of a person by only using his/her genetic information?',b'1',b'143',b'8',b'2012-02-16T17:08:59.393',b'1',b'382',N/A
784,2,N/A,b'2012-01-23T21:06:29.420',N/A,781,N/A,b'0',N/A,b'7',b'2012-01-23T21:06:29.420',N/A,b'28',N/A
793,1,N/A,b'2012-01-24T13:35:10.087',b'2',N/A,b'Looking for a cancer drug target database to guide sequencing of patient tumor DNA',b'8',b'653',b'15',b'2015-05-28T14:41:59.510',b'2',b'403',N/A
824,1,b'827',b'2012-01-26T18:12:10.613',b'2',N/A,"b'How are the gene sequences of individual sperm and egg cells ""randomized""?'",b'1',b'1263',b'6',b'2012-01-27T17:19:55.767',N/A,b'263',N/A
827,2,N/A,b'2012-01-26T21:09:07.160',N/A,824,N/A,b'0',N/A,b'6',b'2012-01-27T17:19:55.767',N/A,b'397',N/A
828,2,N/A,b'2012-01-26T21:11:34.253',N/A,824,N/A,b'0',N/A,b'1',b'2012-01-26T21:11:34.253',N/A,b'43',N/A
842,1,b'848',b'2012-01-29T03:26:12.433',b'1',N/A,b'Does the genetic expression of specific physical traits ever correlate to behaviour?',b'4',b'394',b'12',b'2012-01-30T02:37:43.247',b'2',b'279',N/A
848,2,N/A,b'2012-01-30T01:43:23.143',N/A,842,N/A,b'1',N/A,b'6',b'2012-01-30T02:37:43.247',N/A,b'107',N/A
861,1,N/A,b'2012-01-31T18:23:15.110',b'1',N/A,b'How are whole Haplotypes for Sequencing isolated?',b'1',b'75',b'7',b'2014-01-02T10:31:26.973',N/A,b'55',N/A
862,1,N/A,b'2012-01-31T18:33:11.093',b'2',N/A,b'What are the limitations to current nucleotide sequencing technologies?',b'5',b'2057',b'11',b'2014-01-02T13:09:27.930',b'2',b'43',N/A
884,1,b'886',b'2012-02-02T05:59:14.690',b'5',N/A,b'Is it the case that all changes in phenotype during life are not inheritable?',b'1',b'982',b'15',b'2016-03-23T01:47:06.913',b'2',b'438',N/A
886,2,N/A,b'2012-02-02T09:37:13.153',N/A,884,N/A,b'1',N/A,b'17',b'2012-02-02T09:37:13.153',N/A,b'112',N/A
887,2,N/A,b'2012-02-02T10:14:48.597',N/A,884,N/A,b'0',N/A,b'16',b'2012-02-02T10:14:48.597',N/A,b'430',N/A
891,2,N/A,b'2012-02-02T14:41:23.617',N/A,884,N/A,b'0',N/A,b'4',b'2016-03-23T01:47:06.913',N/A,b'440',N/A
899,2,N/A,b'2012-02-03T09:27:23.033',N/A,884,N/A,b'2',N/A,b'5',b'2013-08-23T07:26:49.413',N/A,b'444',N/A
935,1,b'2552',b'2012-02-06T17:32:55.753',b'4',N/A,b'Why is polyploidy lethal for some organisms while for others is not?',b'5',b'12158',b'46',b'2015-08-31T01:11:51.847',b'9',b'68',N/A
946,2,N/A,b'2012-02-07T19:42:21.570',N/A,935,N/A,b'4',N/A,b'5',b'2012-02-07T19:42:21.570',N/A,b'43',N/A
957,1,b'959',b'2012-02-08T23:01:14.967',b'1',N/A,"b""Chicken Genome what are the LGE 'chromosomes'?""",b'0',b'799',b'11',b'2012-03-11T14:56:02.623',b'2',b'3632',N/A
959,2,N/A,b'2012-02-08T23:43:21.927',N/A,957,N/A,b'1',N/A,b'8',b'2012-02-08T23:43:21.927',N/A,b'430',N/A
963,1,b'1015',b'2012-02-09T12:01:15.257',b'3',N/A,b'Is it necessary to conduct a power analysis before beginning an experiment?',b'0',b'3835',b'28',b'2012-06-15T15:17:44.327',b'9',b'430',N/A
965,2,N/A,b'2012-02-09T14:45:09.013',N/A,963,N/A,b'4',N/A,b'11',b'2012-02-09T15:21:55.647',N/A,b'82',N/A
994,1,b'996',b'2012-02-11T15:59:39.873',b'1',N/A,b'Are human chromosomes connected or separate molecules?',b'0',b'7336',b'24',b'2015-06-22T20:20:46.627',b'4',b'483',N/A
996,2,N/A,b'2012-02-11T17:39:38.603',N/A,994,N/A,b'5',N/A,b'16',b'2015-06-22T20:20:46.627',N/A,b'231',N/A
1015,2,N/A,b'2012-02-12T23:55:12.277',N/A,963,N/A,b'1',N/A,b'19',b'2012-02-12T23:55:12.277',N/A,b'67',N/A
1024,1,b'1161',b'2012-02-13T18:26:00.133',b'1',N/A,"b""What is the distinction between F' plasmid and R plasmid?""",b'2',b'7298',b'5',b'2012-02-23T05:41:03.140',N/A,b'307',N/A
1057,1,b'1059',b'2012-02-15T21:52:15.227',b'1',N/A,b'What is the structure and function of chromosomes during interphase?',b'0',b'872',b'2',b'2012-02-15T23:04:46.617',b'0',b'86',N/A
1059,2,N/A,b'2012-02-15T23:04:46.617',N/A,1057,N/A,b'0',N/A,b'3',b'2012-02-15T23:04:46.617',N/A,b'177',N/A
1061,2,N/A,b'2012-02-16T17:08:59.393',N/A,781,N/A,b'0',N/A,b'2',b'2012-02-16T17:08:59.393',N/A,b'82',N/A
1084,1,N/A,b'2012-02-17T14:53:57.463',b'1',N/A,b'Sequencing the genomes of polyploid organisms',b'5',b'989',b'13',b'2012-02-22T22:02:26.427',b'2',b'43',N/A
1126,1,b'1128',b'2012-02-21T17:40:59.567',b'4',N/A,b'Questions to ask to a panel of people that will be sequenced',b'1',b'710',b'14',b'2016-11-08T17:37:15.723',b'1',b'234',N/A
1128,2,N/A,b'2012-02-21T18:53:43.743',N/A,1126,N/A,b'4',N/A,b'7',b'2012-02-21T18:53:43.743',N/A,b'28',N/A
1130,1,b'1159',b'2012-02-21T20:18:42.493',b'1',N/A,b'Are prions an important driver in evolution?',b'1',b'220',b'9',b'2012-09-14T19:47:07.683',b'0',b'81',N/A
1141,2,N/A,b'2012-02-22T09:33:48.670',N/A,1126,N/A,b'4',N/A,b'6',b'2012-02-22T09:33:48.670',N/A,b'444',N/A
1146,2,N/A,b'2012-02-22T15:21:15.617',N/A,1126,N/A,b'0',N/A,b'4',b'2012-02-22T17:18:54.583',N/A,b'535',N/A
1152,1,b'1153',b'2012-02-22T19:32:12.290',b'2',N/A,b'Which is more important for protein expression mRNA structure or codon optimization?',b'0',b'983',b'13',b'2012-03-14T17:51:57.503',b'3',b'389',N/A
1153,2,N/A,b'2012-02-22T20:21:22.710',N/A,1152,N/A,b'2',N/A,b'11',b'2012-03-14T17:51:57.503',N/A,b'28',N/A
1154,2,N/A,b'2012-02-22T22:02:26.427',N/A,1084,N/A,b'2',N/A,b'7',b'2012-02-22T22:02:26.427',N/A,b'535',N/A
1159,2,N/A,b'2012-02-23T05:12:53.347',N/A,1130,N/A,b'0',N/A,b'8',b'2012-02-23T05:12:53.347',N/A,b'526',N/A
1161,2,N/A,b'2012-02-23T05:41:03.140',N/A,1024,N/A,b'0',N/A,b'6',b'2012-02-23T05:41:03.140',N/A,b'526',N/A
1166,2,N/A,b'2012-02-23T15:15:07.907',N/A,1126,N/A,b'0',N/A,b'2',b'2012-02-24T15:22:47.950',N/A,b'234',N/A
1167,1,b'1207',b'2012-02-23T19:35:06.333',b'3',N/A,b'Why do restriction enzymes tend to have an even number of bases in their recognition site?',b'2',b'1832',b'14',b'2018-01-26T05:21:59.583',b'1',b'69',N/A
1168,2,N/A,b'2012-02-23T20:27:10.720',N/A,1167,N/A,b'7',N/A,b'1',b'2012-02-23T20:27:10.720',N/A,b'535',N/A
1176,1,N/A,b'2012-02-24T20:45:14.970',b'3',N/A,b'Determining potential protease sites within a recombinant protein',b'3',b'1137',b'7',b'2012-03-12T20:09:53.577',b'1',b'389',N/A
1180,1,b'1183',b'2012-02-24T22:01:28.220',b'1',N/A,b'PDB Mining: Why Do I Find Atoms Less than 1 Angstrom Apart?',b'2',b'178',b'8',b'2012-02-25T05:51:35.867',N/A,b'543',N/A
1183,2,N/A,b'2012-02-25T05:51:35.867',N/A,1180,N/A,b'3',N/A,b'7',b'2012-02-25T05:51:35.867',N/A,b'3632',N/A
1188,1,N/A,b'2012-02-25T16:12:31.523',b'4',N/A,"b'What can you tell about a person, having only their whole genome as information?'",b'3',b'563',b'11',b'2013-01-23T18:04:16.680',b'2',b'546',N/A
1191,1,N/A,b'2012-02-25T23:20:28.093',b'2',N/A,b'Is it possible to add a new sequence to a blast database without recreating it from scratch?',b'0',b'898',b'8',b'2015-05-20T19:40:50.307',N/A,b'548',N/A
1194,2,N/A,b'2012-02-26T03:25:00.363',N/A,1188,N/A,b'0',N/A,b'5',b'2012-02-26T11:46:20.407',N/A,b'524',N/A
1197,2,N/A,b'2012-02-26T06:13:27.720',N/A,1188,N/A,b'4',N/A,b'6',b'2013-01-23T18:04:16.680',N/A,b'3632',N/A
1202,2,N/A,b'2012-02-26T14:01:59.740',N/A,1191,N/A,b'0',N/A,b'5',b'2013-12-26T14:24:33.350',N/A,b'82',N/A
1207,2,N/A,b'2012-02-26T21:51:04.377',N/A,1167,N/A,b'3',N/A,b'10',b'2012-02-26T21:51:04.377',N/A,b'112',N/A
1208,1,b'1431',b'2012-02-27T02:38:09.333',b'3',N/A,b'How to create a collection of anonymous sequences for teaching and testing?',b'2',b'135',b'4',b'2012-03-30T10:53:34.500',N/A,b'553',b'2013-01-02T20:52:27.203'
1209,2,N/A,b'2012-02-27T05:04:40.950',N/A,1176,N/A,b'3',N/A,b'2',b'2012-02-27T05:04:40.950',N/A,b'223',N/A
1210,2,N/A,b'2012-02-27T05:24:01.580',N/A,1208,N/A,b'1',N/A,b'4',b'2012-02-27T07:00:13.533',N/A,b'223',N/A
1215,2,N/A,b'2012-02-27T13:53:43.333',N/A,1188,N/A,b'0',N/A,b'4',b'2012-02-27T13:53:43.333',N/A,b'535',N/A
1217,1,b'1218',b'2012-02-27T15:14:21.097',b'1',N/A,b'Displaying nucleotide at a single position from RNA-seq reads in a BAM file',b'0',b'1141',b'3',b'2012-02-27T16:12:23.360',N/A,b'557',N/A
1218,2,N/A,b'2012-02-27T16:12:23.360',N/A,1217,N/A,b'0',N/A,b'3',b'2012-02-27T16:12:23.360',N/A,b'12',N/A
1234,2,N/A,b'2012-02-28T01:19:31.943',N/A,1167,N/A,b'3',N/A,b'5',b'2012-02-28T01:19:31.943',N/A,N/A,N/A
1235,2,N/A,b'2012-02-28T01:30:23.310',N/A,1176,N/A,b'1',N/A,b'2',b'2012-02-28T01:39:09.977',N/A,b'204',N/A
1238,2,N/A,b'2012-02-28T02:18:36.993',N/A,1176,N/A,b'2',N/A,b'4',b'2012-02-28T02:18:36.993',N/A,N/A,N/A
1261,2,N/A,b'2012-03-01T02:24:46.677',N/A,1208,N/A,b'0',N/A,b'5',b'2012-03-01T02:35:33.010',N/A,b'535',N/A
1262,2,N/A,b'2012-03-01T02:33:01.813',N/A,23,N/A,b'0',N/A,b'4',b'2012-03-01T13:33:17.900',N/A,b'535',N/A
1266,1,N/A,b'2012-03-01T12:18:15.167',b'3',N/A,"b'How is the sequenced genome of a person useful to him in practice, now?'",b'0',b'219',b'9',b'2012-03-02T18:08:57.867',b'2',b'572',N/A
1268,2,N/A,b'2012-03-01T13:26:11.593',N/A,1266,N/A,b'2',N/A,b'9',b'2012-03-01T13:26:11.593',N/A,b'535',N/A
1276,2,N/A,b'2012-03-02T00:45:31.347',N/A,1266,N/A,b'1',N/A,b'0',b'2012-03-02T00:45:31.347',N/A,b'576',N/A
1279,1,b'1880',b'2012-03-02T14:26:04.213',b'1',N/A,b'Regulation of chromatin structure',b'1',b'1229',b'21',b'2014-01-13T21:38:45.343',b'1',b'43',N/A
1280,1,b'1287',b'2012-03-02T14:34:25.620',b'2',N/A,b'Percentage of genome devoted to regulating gene expression',b'7',b'524',b'14',b'2012-05-09T15:06:16.013',b'3',b'43',N/A
1282,2,N/A,b'2012-03-02T18:08:57.867',N/A,1266,N/A,b'0',N/A,b'4',b'2012-03-02T18:08:57.867',N/A,b'34',N/A
1283,2,N/A,b'2012-03-02T19:30:35.757',N/A,1280,N/A,b'7',N/A,b'7',b'2012-03-02T19:30:35.757',N/A,b'535',N/A
1287,2,N/A,b'2012-03-03T00:18:22.323',N/A,1280,N/A,b'0',N/A,b'9',b'2012-03-03T06:54:47.640',N/A,b'204',N/A
1347,1,b'1426',b'2012-03-08T20:33:12.903',b'1',N/A,b'Is there a standard format for plant community composition data?',b'0',b'122',b'9',b'2017-01-03T15:56:02.057',b'1',b'222',N/A
1348,1,N/A,b'2012-03-08T20:58:07.597',b'2',N/A,b'Can methylation from DNA get copied to RNA during transcription?',b'0',b'388',b'15',b'2012-05-09T22:37:38.277',b'1',b'599',N/A
1349,2,N/A,b'2012-03-08T22:14:34.790',N/A,1348,N/A,b'3',N/A,b'10',b'2012-05-09T22:37:38.277',N/A,b'389',N/A
1382,1,b'1392',b'2012-03-11T22:23:05.947',b'4',N/A,b'Which organism has the smallest genome length?',b'0',b'6719',b'25',b'2016-10-16T18:47:15.960',b'7',b'610',N/A
1385,2,N/A,b'2012-03-12T00:00:36.253',N/A,1382,N/A,b'1',N/A,b'10',b'2012-03-12T00:00:36.253',N/A,b'389',N/A
1392,2,N/A,b'2012-03-12T00:17:57.237',N/A,1382,N/A,b'3',N/A,b'44',b'2012-03-12T00:34:47.637',N/A,b'430',N/A
1408,2,N/A,b'2012-03-13T13:54:24.190',N/A,1152,N/A,b'0',N/A,b'3',b'2012-03-13T13:54:24.190',N/A,b'535',N/A
1410,2,N/A,b'2012-03-13T17:00:44.580',N/A,862,N/A,b'1',N/A,b'4',b'2014-01-02T13:09:27.930',N/A,b'3632',N/A
1426,2,N/A,b'2012-03-14T19:00:50.997',N/A,1347,N/A,b'0',N/A,b'6',b'2012-03-22T02:22:07.637',N/A,b'222',N/A
1431,2,N/A,b'2012-03-15T11:51:25.450',N/A,1208,N/A,b'0',N/A,b'5',b'2012-03-30T10:51:20.277',N/A,b'553',N/A
1458,1,b'1465',b'2012-03-17T04:40:11.547',b'1',N/A,b'Is there a tool to find the action of an enzyme in a metabolic pathway?',b'0',b'102',b'6',b'2012-03-17T18:11:53.920',N/A,b'602',N/A
1465,2,N/A,b'2012-03-17T12:44:55.723',N/A,1458,N/A,b'0',N/A,b'8',b'2012-03-17T12:44:55.723',N/A,b'158',N/A
1484,1,N/A,b'2012-03-18T23:49:13.110',b'1',N/A,b'Predicting progeny of recessive mutations using recombination',b'0',b'580',b'4',b'2012-05-10T02:28:47.900',b'1',b'558',N/A
1510,1,N/A,b'2012-03-21T10:09:35.177',b'1',N/A,b'Which factors besides the thermodynamic stability are important for the hairpin in intrinsic transcription termination?',b'1',b'103',b'7',b'2012-05-28T22:11:12.240',N/A,b'6',N/A
1529,1,b'1530',b'2012-03-22T02:13:51.863',b'1',N/A,b'How to clone and sequence a gene transcript of unknown sequence?',b'5',b'1761',b'8',b'2012-09-14T20:19:53.437',N/A,N/A,N/A
1530,2,N/A,b'2012-03-22T03:39:37.433',N/A,1529,N/A,b'1',N/A,b'9',b'2012-09-14T20:19:53.437',N/A,b'177',N/A
1541,1,N/A,b'2012-03-23T18:34:41.813',b'1',N/A,"b""Why is the 3'UTR region highly methylated in most of the human genes?""",b'1',b'1446',b'12',b'2012-03-27T16:10:13.223',b'1',b'601',N/A
1559,1,b'1598',b'2012-03-25T00:12:01.357',b'2',N/A,b'How can I pare down a PDB file in Python to only include specific residues?',b'8',b'801',b'9',b'2012-03-29T03:00:07.267',N/A,b'25',N/A
1566,2,N/A,b'2012-03-25T21:43:03.610',N/A,1559,N/A,b'0',N/A,b'7',b'2012-03-25T21:43:03.610',N/A,b'663',N/A
1582,2,N/A,b'2012-03-27T16:10:13.223',N/A,1541,N/A,b'1',N/A,b'8',b'2012-03-27T16:10:13.223',N/A,b'48',N/A
1587,2,N/A,b'2012-03-28T00:56:11.940',N/A,1348,N/A,b'1',N/A,b'1',b'2012-03-28T00:56:11.940',N/A,b'395',N/A
1598,2,N/A,b'2012-03-29T02:44:27.770',N/A,1559,N/A,b'0',N/A,b'5',b'2012-03-29T03:00:07.267',N/A,b'25',N/A
1629,1,b'1631',b'2012-04-02T06:23:19.187',b'1',N/A,b'How are there alternative initiation codons?',b'0',b'1302',b'10',b'2012-04-02T18:23:10.767',N/A,b'389',N/A
1631,2,N/A,b'2012-04-02T18:23:10.767',N/A,1629,N/A,b'1',N/A,b'10',b'2012-04-02T18:23:10.767',N/A,b'28',N/A
1651,1,N/A,b'2012-04-03T19:48:21.013',b'3',N/A,b'Are there differences in DNA between humans of today and humans from 2000 years ago?',b'3',b'1021',b'15',b'2017-01-24T21:29:28.190',N/A,b'693',N/A
1652,2,N/A,b'2012-04-03T21:33:12.460',N/A,1651,N/A,b'2',N/A,b'8',b'2012-04-04T18:39:04.100',N/A,b'535',N/A
1657,2,N/A,b'2012-04-04T07:54:55.653',N/A,1651,N/A,b'0',N/A,b'6',b'2012-04-04T08:12:49.717',N/A,b'444',N/A
1674,2,N/A,b'2012-04-05T12:17:24.773',N/A,884,N/A,b'1',N/A,b'0',b'2012-04-05T12:17:24.773',N/A,b'112',N/A
1724,1,N/A,b'2012-04-07T19:52:31.990',b'4',N/A,b'Why do eukaryotic organisms have introns in their DNA?',b'2',b'52397',b'44',b'2017-11-05T20:36:06.447',b'6',b'62',N/A
1725,2,N/A,b'2012-04-08T02:33:00.063',N/A,1724,N/A,b'3',N/A,b'33',b'2012-04-08T02:33:00.063',N/A,b'43',N/A
1731,1,b'1864',b'2012-04-09T20:56:49.163',b'2',N/A,b'protocol for pulldown of DNA breakpoints?',b'1',b'243',b'11',b'2013-02-08T17:19:20.200',N/A,b'658',N/A
